onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
4554.162087	1.9556242	1	1	2	1	8	5	11	3
4556.687643	1.9088072	1	2	2	1	3	6	2	11
4558.956463	1.8188734	1	3	4	2	6	3	5	8
4561.125357	1.8188234	1	4	4	2	11	1	4	5
4563.735148	1.6780025	1	5	6	1	1	1	2	8
4565.94276	2.0488612	1	6	6	2	7	6	8	4
4568.521382	1.8491987	1	7	4	2	5	4	7	5
4570.900174	1.9489099	1	8	5	1	10	4	9	5
4573.198997	1.8390306	1	9	5	2	2	5	5	5
4575.527788	1.9691256	1	10	1	2	6	6	3	2
4577.996522	1.879016	1	11	1	1	9	3	2	3
4580.295347	1.7291067	1	12	3	1	4	2	5	1
4582.3743	1.6791264	1	13	1	1	4	1	9	4
4584.5232	1.7190408	1	14	5	2	6	1	8	7
4586.592081	1.9089981	1	15	6	2	5	4	5	7
4589.00091	1.879015	1	16	6	1	1	5	3	3
4591.239749	1.9289693	1	17	7	2	6	4	2	5
4593.698493	2.0888898	1	18	7	2	9	6	2	3
4596.287154	2.018893	1	19	3	1	11	5	1	1
4598.825804	1.7190976	1	20	5	2	1	3	5	1
4601.314597	2.1088484	1	21	7	2	10	6	5	4
4603.933207	1.9590124	1	22	1	2	8	5	2	9
4606.402007	1.8090518	1	23	1	1	8	2	1	3
4608.960701	1.7690399	1	24	3	1	6	2	1	8
4611.429436	1.819029	1	25	5	2	11	1	11	2
4613.748251	1.8090491	1	26	5	2	3	4	4	3
4616.057052	1.8989829	1	27	1	1	10	3	1	4
4618.425842	1.9189989	1	28	7	2	8	3	3	3
4620.934571	1.7590145	1	29	6	2	5	1	7	3
4623.183356	1.9490083	1	30	2	1	5	6	8	1
4625.662093	1.9489783	1	31	6	2	2	6	1	4
4628.100881	1.81907	1	32	4	2	1	5	1	8
4630.369749	1.8590049	1	33	7	1	10	1	4	8
4632.7985	1.6191537	1	34	1	2	1	1	2	2
4634.767436	1.9489772	1	35	7	2	2	6	1	1
4637.236235	1.7090591	1	36	1	2	3	2	5	5
4639.415103	1.949022	1	37	7	1	2	6	1	4
4641.893823	1.9290093	1	38	7	1	6	4	4	11
