,trial_sequence,median_tq,mean_land_tq,id
0,1,-132.0,4.370998917332374,1
1,1,74.0,4.569211701671878,1
2,1,265.0,4.620997758259521,1
0,2,-154.0,4.062524834030143,1
1,2,54.0,4.262381071319464,1
2,2,258.0,4.146589708482045,1
0,3,-128.0,3.65650290561189,1
1,3,60.0,3.3418666543619246,1
2,3,246.0,3.6503486434996435,1
0,4,-116.0,2.899146461626517,1
1,4,79.0,3.061710876086588,1
2,4,251.5,3.1827616107244094,1
0,5,-99.5,2.3527991062040345,1
1,5,88.5,2.430501609723052,1
2,5,251.5,2.4977890804116485,1
0,6,-170.0,3.323799597358257,1
1,6,87.5,3.606804600613702,1
2,6,284.5,3.2889918004012597,1
0,7,-182.0,3.7994211153777133,1
1,7,84.0,3.680316612098796,1
2,7,272.5,3.9200638347060126,1
0,1,-12.0,4.187777124295425,2
1,1,276.0,4.351727873803355,2
2,1,502.0,4.512031247805012,2
0,2,23.5,3.852582920233223,2
1,2,279.0,4.004098591204483,2
2,2,509.0,3.838414204771839,2
0,3,69.0,2.9522443731759034,2
1,3,286.0,3.534224009845703,2
2,3,369.0,3.3885419357885627,2
0,4,105.0,3.1668282545766013,2
1,4,284.0,3.074595503061931,2
2,4,407.5,3.369239865084465,2
0,5,4.0,2.689994904294252,2
1,5,308.0,2.5176614990833177,2
2,5,468.0,2.474367793120081,2
0,6,6.0,3.334039066458716,2
1,6,285.0,3.2228060682964963,2
2,6,375.0,3.384781049552374,2
0,7,132.0,3.9905200139151464,2
1,7,310.0,3.5738991141101546,2
2,7,494.5,3.787242270956809,2
0,1,197.0,4.655125633729069,3
1,1,247.0,4.644284953049205,3
2,1,301.5,4.565112951447956,3
0,2,210.0,4.085919652748739,3
1,2,257.0,4.230544368819411,3
2,2,300.0,4.018215854708978,3
0,3,214.0,3.8072143829113365,3
1,3,259.0,3.636833595307833,3
2,3,316.0,3.7050034696866763,3
0,4,218.0,3.3033641236276843,3
1,4,258.0,3.1951956321025663,3
2,4,308.5,3.3081108141705493,3
0,5,203.0,2.710130703603764,3
1,5,248.0,2.6917930502300287,3
2,5,309.0,2.7812009636938173,3
0,6,171.5,3.4044168590240664,3
1,6,241.0,3.327170036546545,3
2,6,293.0,3.1866037560107743,3
0,7,125.0,4.203713908738925,3
1,7,232.5,4.057441429382922,3
2,7,297.0,4.05063796225101,3
0,1,269.0,4.0431194610135845,4
1,1,335.0,3.9997409888086595,4
2,1,413.5,3.906890422031486,4
0,2,261.5,3.621627230246556,4
1,2,329.0,3.716160762338924,4
2,2,416.0,3.6175446140105234,4
0,3,283.5,3.2443218781746936,4
1,3,332.0,3.003030979623635,4
2,3,421.5,3.0443759164432924,4
0,4,271.0,2.9551798216048235,4
1,4,356.0,2.6094050313920514,4
2,4,437.0,2.499197075450807,4
0,5,269.0,2.088974397673431,4
1,5,341.0,2.305181277220575,4
2,5,432.0,2.0408853704885392,4
0,6,268.0,3.0076354106706398,4
1,6,331.0,2.973509189469315,4
2,6,433.0,2.7930719477112786,4
0,7,260.0,3.5046327938387627,4
1,7,319.0,3.580798792146772,4
2,7,405.0,3.528936318973612,4
0,1,201.0,4.060453000290524,5
1,1,256.0,4.133506697465937,5
2,1,337.5,4.005388161188306,5
0,2,200.5,3.5418083779367038,5
1,2,239.0,3.5302221745525904,5
2,2,319.0,3.4832631827797638,5
0,3,203.5,3.2001622816974886,5
1,3,257.0,2.9325145378925814,5
2,3,357.5,3.051584383193905,5
0,4,217.0,2.5141368599331884,5
1,4,285.0,2.6533639097397206,5
2,4,368.0,2.3752710719373016,5
0,5,130.5,2.010997057640875,5
1,5,252.0,1.984956838754568,5
2,5,349.0,1.9584438801781903,5
