,trial_sequence,median_tq,mean_land_tq,id
0,1,-102.5,4.428559944466928,1
1,1,221.0,4.611404107457474,1
0,2,-96.0,4.1328476700798635,1
1,2,234.0,4.1764912712112405,1
0,3,-73.0,3.5377309833386716,1
1,3,217.0,3.5685596792431364,1
0,4,-55.0,2.8989352139574236,1
1,4,228.0,3.1897113501985377,1
0,5,-48.0,2.347998042133527,1
1,5,232.0,2.5060618220922954,1
0,6,-66.0,3.401052991228482,1
1,6,211.0,3.412011007686998,1
0,7,-110.5,3.834137213194636,1
1,7,241.0,3.7651214405793807,1
0,1,113.0,4.199876122752444,2
1,1,357.0,4.504222244432714,2
0,2,190.0,3.992847550288401,2
1,2,382.0,3.8075648024386877,2
0,3,204.0,3.181128361137012,2
1,3,336.5,3.404975395031427,2
0,4,219.0,3.122706304765638,2
1,4,344.0,3.284402777049693,2
0,5,239.5,2.645062058634777,2
1,5,384.0,2.4714002255499183,2
0,6,218.5,3.3151163643332535,2
1,6,336.0,3.312605565447835,2
0,7,214.5,3.8879165467066175,2
1,7,379.0,3.6824885774150085,2
0,1,213.5,4.673804224837366,3
1,1,285.0,4.569073960112956,3
0,2,223.0,4.110654225386032,3
1,2,284.5,4.111566140727632,3
0,3,227.0,3.762194783139792,3
1,3,290.5,3.674814762733029,3
0,4,227.0,3.2757155178064012,3
1,4,287.0,3.2620648621274664,3
0,5,215.5,2.7278317519798705,3
1,5,290.0,2.7275824806845232,3
0,6,211.0,3.423873198615438,3
1,6,280.0,3.184046415007095,3
0,7,196.0,4.12845379892019,3
1,7,278.5,4.0810540873299095,3
0,1,292.0,4.071249217963488,4
1,1,389.0,3.89621532932133,4
0,2,282.5,3.677208605883834,4
1,2,377.0,3.62301057834173,4
0,3,293.0,3.1798943292973227,4
1,3,397.5,3.0145915201970914,4
0,4,293.0,2.885567363305814,4
1,4,395.5,2.488101453212257,4
0,5,289.5,2.1237284518668478,4
1,5,420.0,2.166793917068663,4
0,6,290.5,2.975702586317068,4
1,6,394.5,2.8756591250092147,4
0,7,281.0,3.532167504900406,4
1,7,373.0,3.543538400574478,4
0,1,218.0,4.086858903121406,5
1,1,304.5,4.0460396695084375,5
0,2,212.5,3.5087599976719077,5
1,2,287.0,3.5281024925074647,5
0,3,230.0,3.181796902087191,5
1,3,320.0,2.936497553693871,5
0,4,227.5,2.5232465246711464,5
1,4,334.0,2.494864378525487,5
0,5,212.0,1.9854600547679517,5
1,5,321.0,1.9847338674655992,5
0,6,207.0,2.7751560606098726,5
1,6,307.5,2.6219085218976432,5
0,7,211.0,3.567218819392844,5
1,7,302.0,3.569641811900382,5
0,1,236.0,3.6960990838264967,6
1,1,287.0,3.691353148144368,6
0,2,235.0,3.311758914457544,6
1,2,288.0,3.2584011477210564,6
0,3,233.5,2.773216659541163,6
1,3,292.0,2.8161333446311696,6
0,4,236.0,2.3223449693581983,6
1,4,291.5,2.3905286173101827,6
0,5,237.0,1.7345525506392894,6
1,5,285.0,1.8441183100434249,6
0,6,233.5,2.4603583990751416,6
1,6,280.5,2.4280160834244175,6
0,7,230.0,3.106717819240423,6
1,7,276.0,3.0907062675547627,6
0,1,-90.0,4.921553844728041,7
1,1,338.0,4.6983245391314785,7
0,2,-83.0,4.477206330456777,7
1,2,270.0,4.370270973493732,7
0,3,26.0,3.9442110701170776,7
1,3,357.0,4.175788219138171,7
0,4,-71.0,3.31745849750104,7
1,4,268.0,3.2744815033083814,7
0,5,-50.0,2.461534440609361,7
1,5,318.5,2.8509243182414097,7
0,6,-139.5,3.521965149321919,7
1,6,304.0,3.6805221525081144,7
0,7,-285.0,3.811688972865864,7
1,7,279.5,4.103602815512196,7
0,1,209.0,4.078954521345467,8
1,1,288.5,4.113875727795422,8
0,2,228.5,3.8014316281085443,8
1,2,300.0,3.55511849917092,8
0,3,234.5,3.152435018043099,8
1,3,304.0,3.1386103412025763,8
0,4,219.0,2.6272270314510897,8
1,4,295.0,2.676548638083546,8
0,5,235.0,2.123700745509658,8
1,5,297.5,2.21767942637067,8
0,6,233.0,2.8711562997047713,8
1,6,303.0,2.788433498863568,8
0,7,213.0,3.5400804170229643,8
1,7,287.0,3.516240795514164,8
0,1,-47.0,4.480434780292695,9
1,1,254.0,4.537437182640989,9
0,2,-68.5,4.1573461982961195,9
1,2,244.5,4.1198929136814595,9
0,3,-59.5,3.6996928775183857,9
1,3,278.0,3.6148217570238703,9
0,4,-73.0,3.330824685742062,9
1,4,250.0,3.4910774227164976,9
0,5,-86.5,2.836364498230585,9
1,5,250.5,2.903056013787797,9
0,6,-123.0,3.396980606652514,9
1,6,225.0,3.599196572234401,9
0,7,-76.5,4.017613930790339,9
1,7,242.0,4.1722504512295995,9
0,1,34.0,3.648059627156842,10
1,1,308.0,3.7258179710211836,10
0,2,55.0,3.3631227062876676,10
1,2,293.0,3.1866824168995027,10
0,3,40.0,2.561546515752224,10
1,3,285.0,2.824697987373011,10
0,4,80.5,2.333638722617281,10
1,4,346.0,2.31252337934448,10
0,5,41.5,1.8913653507099677,10
1,5,361.0,1.7305392079718,10
0,6,328.0,2.3248415424221185,10
1,6,432.0,3.1722246101283647,10
0,7,-173.0,3.059864075446587,10
1,7,297.0,3.6165313996236734,10
0,1,219.0,3.4458354564042284,11
1,1,304.0,3.3556040610443842,11
0,2,239.0,3.0578587358903975,11
1,2,292.0,2.967596310597259,11
0,3,242.0,2.5640113184043813,11
1,3,313.0,2.522932554622616,11
