onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
3199.381878	1.9955991	1	1	2	2	10	5	11	8
3201.917396	1.8888522	1	2	1	1	2	6	3	3
3204.36619	2.0088196	1	3	6	2	10	4	3	9
3206.98498	1.9689064	1	4	3	2	11	4	4	10
3209.507474	1.835358	1	5	6	2	1	4	8	3
3211.752467	1.998965	1	6	7	1	7	5	6	1
3214.301207	1.939012	1	7	6	1	9	3	1	6
3216.879938	1.949118	1	8	2	1	10	4	11	2
3219.338666	1.699147	1	9	2	2	5	1	5	7
3221.587601	1.749148	1	10	5	1	5	2	10	10
3223.856489	1.8590881	1	11	2	2	8	3	10	10
3226.335315	1.9490192	1	12	3	1	10	4	10	11
3228.634194	1.9289823	1	13	7	1	6	4	3	3
3231.092984	1.6791575	1	14	7	1	1	1	6	9
3233.331891	1.6191858	1	15	4	1	1	1	8	3
3235.490837	1.8390579	1	16	1	2	2	5	8	3
3237.829692	1.7591009	1	17	5	1	8	1	6	10
3240.098585	1.819026	1	18	6	2	3	3	5	11
3242.427444	1.8490738	1	19	4	1	5	4	10	1
3244.626352	1.8690707	1	20	5	2	1	6	11	4
3247.035174	2.0089971	1	21	6	1	5	6	4	1
3249.583928	1.8590569	1	22	6	2	5	3	7	8
3252.072716	1.9290356	1	23	3	1	4	6	2	5
3254.491533	1.9090299	1	24	2	2	3	6	1	8
3256.940327	2.0389659	1	25	6	1	9	5	3	1
3259.459078	1.7591586	1	26	5	2	3	3	4	2
3261.747988	1.9989449	1	27	4	1	10	5	8	8
3264.236744	2.0090207	1	28	6	1	10	4	10	9
3266.745739	1.9788103	1	29	3	1	9	5	10	7
3269.074423	1.9090333	1	30	3	1	3	6	5	6
3271.473239	1.9490096	1	31	4	1	5	6	10	6
3273.772101	1.9990186	1	32	7	2	7	5	5	2
3276.270886	1.9190196	1	33	4	2	6	5	4	7
3278.699698	1.9289962	1	34	6	2	6	4	4	8
3281.268494	1.9389608	1	35	3	2	7	5	5	5
3283.617295	1.7690793	1	36	1	2	1	4	7	5
3285.916143	1.7591382	1	37	4	1	8	1	3	3
3288.195039	1.8693547	1	38	1	1	6	4	9	6
3290.413936	1.8490684	1	39	2	1	10	2	8	7
3292.852773	1.6391394	1	40	2	1	2	1	8	7
3295.341552	1.7794488	1	41	7	2	1	3	8	6
3297.660441	1.8090039	1	42	2	1	8	2	10	7
3299.819333	1.8090798	1	43	5	1	8	2	7	3
3302.258136	1.8190844	1	44	2	1	1	5	5	5
3304.567007	1.9490214	1	45	4	1	10	4	3	4
3307.11575	1.9490127	1	46	1	2	5	6	4	8
3309.874407	1.8190987	1	47	3	2	6	3	9	2
