,sac_t_y_landing,sac_y_landing,time_independant_sac,trial_sequence
448,-501.0,4.23075785078121,1.0,6
181,-500.0,1.6569173110624795,1.0,5
688,-481.0,3.76692076299218,1.0,7
96,-477.0,4.006532057134093,1.0,7
706,-457.0,3.186148940114567,1.0,2
107,-435.0,3.666145323807262,1.0,7
645,-414.0,4.07960702032419,1.0,7
97,-414.0,4.658448464119746,1.0,4
123,-400.0,3.387683380723926,1.0,7
640,-395.0,3.9476860107656035,1.0,7
272,-378.0,4.187680093171831,1.0,2
105,-369.0,3.223451998238246,1.0,5
69,-363.0,3.609221437640593,1.0,7
633,-361.0,4.521526550484332,1.0,7
79,-359.0,3.3930752919453053,1.0,6
472,-358.0,4.537303058123682,1.0,7
821,-346.0,3.984606280624968,1.0,2
823,-337.0,4.116527290183553,1.0,3
251,-332.0,1.7300004931328163,1.0,4
838,-323.0,2.7465343584205577,1.0,4
614,-321.0,4.984606280624968,1.0,1
102,-305.0,4.213458408964833,1.0,7
379,-301.0,4.469603568394488,1.0,1
235,-300.0,3.8984507654062104,1.0,2
447,-299.0,3.807685353255184,1.0,4
399,-297.0,4.036529262714812,1.0,2
778,-296.0,3.8415350981197802,1.0,3
214,-295.0,2.839995726182277,1.0,4
452,-294.0,4.158065675855427,1.0,2
730,-294.0,2.584998931545569,1.0,5
808,-289.0,3.2773053594101476,1.0,6
114,-284.0,3.179991452364553,1.0,2
593,-283.0,4.436144830674448,1.0,6
108,-277.0,3.3230708537499787,1.0,2
684,-276.0,2.97961359542838,1.0,6
731,-268.0,2.5553762953489296,1.0,6
80,-267.0,4.671911804412721,1.0,3
47,-263.0,1.8826906955273381,1.0,5
443,-262.0,4.215380569166653,1.0,7
363,-260.0,3.78191525634242,1.0,1
276,-259.0,3.0557590836132453,1.0,7
689,-257.0,3.712684613555962,1.0,6
682,-252.0,3.292682641024704,1.0,5
692,-252.0,1.318069949673153,1.0,6
794,-251.0,3.5180732372252486,1.0,2
629,-249.0,4.448834375558553,1.0,4
201,-246.0,3.1326865860872197,1.0,6
816,-245.0,2.430378350068989,1.0,6
833,-245.0,4.4199937536510205,1.0,6
333,-244.0,3.110378021313779,1.0,3
697,-244.0,1.4865366597070249,1.0,5
122,-243.0,3.5730667443098594,1.0,3
86,-241.0,3.881151323589834,1.0,4
347,-239.0,2.673842183494778,1.0,5
219,-238.0,1.9123051128437414,1.0,4
587,-238.0,3.680765247773424,1.0,6
798,-236.0,4.351145899128878,1.0,7
652,-232.0,4.240376870670546,1.0,6
683,-232.0,4.384604636848921,1.0,1
297,-231.0,4.402303304690088,1.0,1
39,-229.0,2.373837252166636,1.0,3
58,-228.0,3.4888416081731606,1.0,7
361,-228.0,3.955757439837198,1.0,2
470,-227.0,2.580763603997376,1.0,5
622,-226.0,4.540756371382766,1.0,7
489,-225.0,3.817296154264282,1.0,3
631,-223.0,5.157682887591113,1.0,2
444,-223.0,4.43768420261195,1.0,7
247,-218.0,2.9519213383137966,1.0,1
184,-216.0,3.9123051128437414,1.0,7
260,-214.0,2.943458902097647,1.0,3
525,-214.0,4.153838567187473,1.0,2
612,-212.0,5.069988000434854,1.0,1
608,-211.0,3.1915326324557083,1.0,5
551,-209.0,2.2803841032851557,1.0,5
650,-209.0,4.384987425113236,1.0,6
786,-207.0,4.067683051968716,1.0,2
801,-206.0,4.469994575539044,1.0,1
100,-205.0,3.2796103078762844,1.0,6
239,-204.0,1.214997780902337,1.0,7
504,-204.0,4.828837334355438,1.0,7
246,-200.0,4.310381308865875,1.0,2
106,-200.0,2.9969212561249945,1.0,4
231,-197.0,4.253840210963521,1.0,1
52,-197.0,3.2299922742525764,1.0,3
507,-192.0,4.897294181733025,1.0,1
120,-191.0,3.3126862573320097,1.0,3
479,-187.0,4.487685024499974,1.0,2
502,-185.0,3.451147542904925,1.0,6
215,-183.0,1.0526885586184764,1.0,6
216,-182.0,2.1834529845038766,1.0,7
635,-182.0,3.6199888223228776,1.0,5
802,-181.0,2.4896071847017933,1.0,6
768,-181.0,3.880377528180965,1.0,7
478,-179.0,4.929221766395801,1.0,1
230,-178.0,3.0249963015038936,1.0,1
378,-178.0,3.8796119516523326,1.0,7
691,-177.0,3.883839060320287,1.0,3
806,-177.0,4.83691698230727,1.0,1
817,-176.0,1.9826841204231478,1.0,4
790,-176.0,2.456148446981751,1.0,4
729,-174.0,1.0619247902434954,1.0,5
293,-170.0,3.5915309886796605,1.0,6
