** CONVERTED FROM /Users/martinszinte/Dropbox/Data/Martin/Experiments/AM3strokes/data/sub-01/eyetrack/sub-01_task-AM3strokes_run-01_eyeData.edf using edfapi 4.2.1.0 MacOS X   standalone Jun 18 2021 on Tue Nov 16 15:47:47 2021
** DATE: Mon Nov 15 13:53:57 2021
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.12 May 12 2017
** CAMERA: Eyelink GL Version 1.2 Sensor=AI7
** SERIAL NUMBER: CLG-BAF38
** CAMERA_CONFIG: BAF38200.SCD
**

MSG	3864714 RECCFG CR 1000 1 1 L
MSG	3864714 ELCLCFG BTOWER
MSG	3864714 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	3864714 THRESHOLDS L 115 227
MSG	3864714 ELCL_WINDOW_SIZES 176 188 0 0
MSG	3864714 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	3864714 ELCL_PROC CENTROID (3)
MSG	3864714 ELCL_PCR_PARAM 5 3.0
MSG	3864715 !MODE RECORD CR 1000 1 1 L
START	3864716 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
3864716	  858.6	  515.4	 4048.0	...
3864717	  858.6	  516.0	 4056.0	...
3864718	  858.6	  515.7	 4056.0	...
3864719	  857.9	  515.8	 4059.0	...
3864720	  858.0	  515.9	 4059.0	...
3864721	  858.1	  515.9	 4051.0	...
SFIX L   3864722
3864722	  858.2	  516.0	 4051.0	...
3864723	  858.8	  516.0	 4051.0	...
3864724	  858.8	  515.5	 4054.0	...
3864725	  858.6	  515.5	 4054.0	...
3864726	  858.5	  515.5	 4063.0	...
3864727	  858.7	  516.1	 4063.0	...
3864728	  858.7	  516.1	 4063.0	...
3864729	  858.6	  514.5	 4048.0	...
3864730	  858.4	  514.5	 4048.0	...
3864731	  858.5	  515.4	 4054.0	...
3864732	  858.7	  515.4	 4051.0	...
3864733	  858.6	  514.0	 4051.0	...
3864734	  857.1	  514.0	 4051.0	...
3864735	  857.1	  514.0	 4050.0	...
3864736	  858.0	  513.6	 4050.0	...
3864737	  858.0	  513.6	 4047.0	...
3864738	  858.7	  514.3	 4047.0	...
3864739	  858.7	  515.2	 4048.0	...
3864740	  858.0	  515.2	 4047.0	...
3864741	  858.0	  515.2	 4047.0	...
3864742	  859.3	  514.9	 4058.0	...
3864743	  859.3	  515.0	 4058.0	...
3864744	  859.3	  515.0	 4058.0	...
3864745	  857.4	  513.7	 4057.0	...
3864746	  857.4	  513.5	 4055.0	...
3864747	  857.4	  513.3	 4056.0	...
3864748	  857.7	  513.3	 4056.0	...
3864749	  858.0	  515.1	 4056.0	...
3864750	  858.0	  515.0	 4056.0	...
3864751	  858.0	  514.9	 4052.0	...
3864752	  858.5	  515.3	 4052.0	...
