onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
4000.381372	1.4160739	3	1	2	1	6	1	5	2
4002.337425	1.6192368	3	2	5	1	11	6	4	8
4004.496419	1.3990385	3	3	3	2	1	5	8	5
4006.425535	1.6389208	3	4	7	2	9	6	3	3
4008.425571	1.3981784	3	5	3	1	4	2	2	4
4010.173439	1.4595647	3	6	4	2	7	2	5	3
4012.192438	1.5593964	3	7	6	2	6	5	4	9
4014.291427	1.5591513	3	8	5	2	8	6	9	4
4016.200444	1.5791518	3	9	6	1	10	2	11	1
4018.339353	1.4192871	3	10	2	2	5	2	8	10
4020.31834	1.4592136	3	11	4	1	5	4	1	6
4022.127425	1.4991902	3	12	7	1	5	3	4	4
4024.176378	1.6191242	3	13	1	2	11	6	7	9
4026.365253	1.5391476	3	14	1	1	10	3	7	4
