onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
5218.674359	1.9656755	6	1	5	1	11	4	1	3
5221.130545	2.0185173	6	2	6	1	8	5	7	2
5223.649424	1.8082909	6	3	1	1	3	4	7	4
5225.817706	1.7889535	6	4	7	1	4	2	2	3
5228.147659	1.7781934	6	5	7	1	1	3	2	7
5230.425506	2.0388571	6	6	7	1	9	5	10	3
5233.034013	1.9590483	6	7	6	2	10	3	5	7
5235.522774	1.8992427	6	8	1	2	5	5	8	11
5237.941639	1.7391807	6	9	2	2	2	3	9	11
5240.200538	1.7991201	6	10	3	1	10	1	6	8
5242.519806	1.8487193	6	11	6	2	7	2	5	9
5244.868308	1.6791582	6	12	6	1	1	1	3	10
5247.047253	1.6791547	6	13	7	2	1	1	3	5
5249.236192	1.6991366	6	14	3	2	5	1	7	7
5251.445095	1.9290663	6	15	4	2	9	4	2	3
5253.893931	1.9790053	6	16	7	2	11	3	2	3
5256.382728	2.048987	6	17	2	1	10	6	8	5
5258.931462	1.8890744	6	18	1	1	7	4	8	4
5261.380683	1.7587248	6	19	5	1	8	1	10	1
5263.70914	1.8191163	6	20	3	1	1	5	9	2
5266.108028	2.028968	6	21	2	2	9	6	3	11
5268.486848	1.7591214	6	22	2	1	8	1	4	6
5270.765727	1.7591569	6	23	4	1	8	1	11	4
5273.074637	1.9990084	6	24	1	1	10	5	1	11
5275.753343	2.0189829	6	25	3	1	11	5	2	3
5278.282178	1.9289783	6	26	4	2	9	4	4	3
5280.720905	2.0290198	6	27	6	2	6	6	6	6
5283.259673	1.7891349	6	28	3	1	2	4	4	9
5285.57858	1.9790133	6	29	7	2	11	3	7	8
5287.907453	1.8490614	6	30	7	2	7	2	9	7
5290.286287	1.9589868	6	31	7	1	5	5	3	2
5292.81507	1.7792166	6	32	7	2	1	3	5	2
5295.253891	1.849057	6	33	3	1	5	4	10	10
5297.662714	1.6991527	6	34	6	1	2	1	3	9
5300.011582	1.8490781	6	35	5	2	5	4	4	7
5302.21051	1.9590223	6	36	6	1	10	3	5	3
5305.039152	1.8290913	6	37	7	2	6	2	9	11
5329.747146	2.1289286	6	38	6	1	11	6	9	11
5332.395847	1.929069	6	39	2	2	9	4	8	10
5334.944618	1.9890219	6	40	2	2	7	6	2	1
5337.433454	2.0189941	6	41	2	1	11	5	1	5
5339.952249	1.7291255	6	42	2	2	4	2	7	2
5342.211137	2.0090039	6	43	6	1	10	4	7	8
5344.789888	2.0889475	6	44	6	2	9	6	7	6
5347.418748	1.8189249	6	45	4	2	11	1	7	8
5349.807456	1.8690727	6	46	5	1	1	6	7	8
5352.196297	1.9590443	6	47	6	1	5	5	9	4
5354.505179	1.7990708	6	48	5	2	5	3	3	4
5356.864036	1.709155	6	49	4	2	3	2	5	4
5358.923039	1.8090653	6	50	2	2	3	4	6	3
5361.381848	2.0689858	6	51	1	1	11	6	3	6
5363.940608	1.8290912	6	52	4	2	9	2	4	6
5366.209921	1.8886163	6	53	2	2	2	6	7	3
5368.708299	1.879051	6	54	2	2	9	3	9	6
5371.027191	1.9190122	6	55	4	2	6	5	9	1
5373.495978	1.8690352	6	56	5	1	11	2	4	6
5375.894777	1.7891327	6	57	5	2	2	4	4	7
5378.203685	2.0293079	6	58	4	2	9	6	8	10
5380.842403	1.9093175	6	59	3	2	8	4	10	11
5383.311206	1.8090871	6	60	7	1	5	2	7	11
5385.780015	1.8490567	6	61	2	1	5	4	8	3
5387.998916	1.9590641	6	62	1	1	8	5	3	3
5390.487741	2.0290089	6	63	1	2	9	6	1	5
5393.086487	1.9993728	6	64	5	2	10	5	3	11
5395.445341	1.7391365	6	65	1	2	7	1	8	8
5397.704216	2.0090361	6	66	5	1	8	6	5	10
5400.222994	1.6791971	6	67	2	1	4	1	6	10
5402.711818	1.7191059	6	68	6	2	3	1	6	1
5405.13065	1.7991019	6	69	4	1	10	1	5	8
5407.4495	1.9290697	6	70	1	2	9	4	10	3
5409.878348	1.7193871	6	71	4	1	1	3	7	4
5412.217213	1.7591083	6	72	5	2	3	3	8	11
5414.496097	1.7391335	6	73	3	1	7	1	2	4
5416.804964	1.859121	6	74	3	2	8	3	9	1
