onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
2329.60944	2.055525	5	1	7	1	10	5	1	2
2332.214891	1.9188242	5	2	5	1	11	3	6	2
2334.673603	1.928787	5	3	5	2	9	4	10	8
2336.952379	1.8489079	5	4	3	2	5	4	9	10
2339.342328	1.9478716	5	5	6	2	2	6	5	2
2341.819876	1.779191	5	6	4	2	4	3	2	8
2344.128628	1.9090444	5	7	4	1	8	4	8	8
2346.567423	1.8290149	5	8	7	1	1	4	1	2
2348.956175	1.8593725	5	9	5	1	3	5	8	7
2351.165449	1.8187126	5	10	7	2	3	3	8	5
2353.513897	1.8890151	5	11	6	2	4	4	4	11
2355.942665	1.978959	5	12	6	1	6	5	10	11
2358.481379	1.8390125	5	13	1	1	2	5	9	3
2360.670248	1.6591396	5	14	4	2	3	1	8	3
2362.869122	1.8590615	5	15	1	1	3	5	5	11
2365.267934	1.9889675	5	16	7	1	9	4	3	1
2367.746676	1.9789349	5	17	5	1	9	5	1	1
2370.335365	2.0288813	5	18	6	1	11	4	3	1
2372.894015	1.7691323	5	19	3	2	6	2	9	6
2375.202884	1.9089608	5	20	5	1	3	6	11	2
2377.671616	1.9489568	5	21	7	2	7	4	2	8
2380.150377	2.0689242	5	22	4	2	11	6	2	3
2382.749056	1.7990663	5	23	5	2	5	3	5	6
2385.097865	1.8989652	5	24	3	1	5	5	6	9
2387.586601	1.8090076	5	25	7	2	5	2	6	4
2389.925431	1.7390944	5	26	1	2	7	1	1	11
2392.014864	1.6986195	5	27	1	2	5	1	4	9
2394.273224	1.8090557	5	28	4	2	8	2	2	4
2396.432094	1.9190148	5	29	1	1	6	5	4	4
2398.700952	2.0289514	5	30	1	1	9	6	4	5
2401.279684	1.9189697	5	31	2	1	6	5	7	1
2403.548525	1.7690626	5	32	7	1	3	2	4	3
2405.827354	1.948948	5	33	7	1	7	4	11	2
2408.326091	1.8889789	5	34	2	1	7	4	1	9
2410.764843	1.9192833	5	35	4	1	6	5	2	4
2413.243609	1.6391441	5	36	4	1	2	1	7	2
2415.442495	2.068922	5	37	7	1	8	6	5	6
2417.861234	1.6791122	5	38	3	1	4	1	1	1
2420.070115	1.8290698	5	39	4	2	4	4	4	4
2422.448931	1.8890274	5	40	4	2	7	4	7	11
2425.177873	1.9786331	5	41	1	2	9	5	2	1
2427.696321	1.8089864	5	42	2	2	3	4	7	8
2430.065055	2.0089523	5	43	6	1	5	6	4	2
2432.613891	1.9788483	5	44	6	1	11	3	7	7
2435.122485	1.8489976	5	45	4	1	10	2	8	3
2437.541221	1.8290723	5	46	3	1	4	4	1	6
2439.810134	1.799021	5	47	5	1	5	3	3	3
2442.148953	1.6191239	5	48	3	1	1	1	7	3
2444.307852	1.9189755	5	49	5	1	6	5	11	7
2446.776603	2.0289344	5	50	2	1	9	6	3	6
2449.365289	1.8090478	5	51	2	1	3	4	4	2
2451.774012	1.9492542	5	52	7	1	7	4	3	2
2454.232822	1.7590545	5	53	3	2	8	1	9	6
2456.351735	1.9789733	5	54	6	1	11	3	6	4
2458.900412	1.6991337	5	55	1	2	5	1	5	10
2461.179272	1.8490461	5	56	3	2	10	2	8	2
2463.388163	2.0289662	5	57	2	2	9	6	2	3
2465.966862	1.8390591	5	58	5	2	7	3	5	9
2468.355662	1.8090584	5	59	4	1	8	2	8	5
2470.70447	1.8293494	5	60	3	2	9	2	11	9
2473.103229	1.8890057	5	61	6	2	9	2	5	3
