,onset,duration,run_number,trial_number,trial_sequence,saccade_direction,fixation_duration,post_stim_duration,spatial_jitter_x,spatial_jitter_y,trial_onset,trial_offset,check_fix_onset,fix_onset,fix_offset,s1_onset,s1_offset,s2_onset,s2_offset,s3_onset,s3_offset,fix_duration,s1_duration,s2_duration,s3_duration,miss_time_trial,blink_trial,no_saccade_trial,main_sac_trial,innacurate_sac_trial,early_sac_trial,late_sac_trial,sac_x_onset_trial,sac_x_offset_trial,sac_y_onset_trial,sac_y_offset_trial,sac_t_onset_trial,sac_t_offset_trial,sac_dur_trial,sac_vpeak_trial,sac_dist_trial,sac_amp_trial,sac_dist_ang_trial,sac_lat_trial,sac_amp_ang_trial,jitter_x_trial,jitter_y_trial,cor_sac_trial,cor_sac_x_onset_trial,cor_sac_x_offset_trial,cor_sac_y_onset_trial,cor_sac_y_offset_trial,cor_sac_t_onset_trial,cor_sac_t_offset_trial,cor_sac_dur_trial,cor_sac_vpeak_trial,cor_sac_dist_trial,cor_sac_amp_trial,cor_sac_dist_ang_trial,cor_sac_amp_ang_trial
0,19378.22593,1.875654,1,1,6,1,8,2,11,2,4722225.0,4724100.0,0.0,4722241.0,4723090.0,4722580.0,4722581.0,4722611.0,4722611.0,4722641.0,4722641.0,849.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.243072826281234,-1.6615354268749893,2.208457504888007,0.3253840210963513,4723533.0,4723575.0,42.0,287.66665007521857,4.3349661308913285,4.832091814828546,2.6922297871763834,443.0,2.731151117114625,2.5,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19380.8214,2.0588527,1,2,7,2,10,5,4,6,4724818.0,4726879.0,0.0,4724829.0,4725868.0,4725209.0,4725209.0,4725238.0,4725239.0,4725269.0,4725269.0,1039.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0523057703541592,2.5130723331484184,4.07768486012237,2.852302482802064,4725688.0,4725745.0,57.0,212.3700042023158,3.770077319045698,4.122433365960346,0.33104180851077414,-180.0,0.32653012501109263,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,19383.41016,1.8591678,1,3,4,2,3,5,6,1,4727407.0,4729268.0,0.0,4727418.0,4728258.0,4727658.0,4727659.0,0.0,0.0,0.0,0.0,840.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5330759494557249,4.049992603007786,1.4399973699583248,-0.05192298208984342,4728762.0,4728825.0,63.0,273.1060136748138,4.819786685470169,5.263125013628142,0.31471001663068066,504.0,0.3288219839460314,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19385.6391,1.9588322,1,4,3,2,8,5,8,2,4729637.0,4731596.0,0.0,4729645.0,4730586.0,4729987.0,4729987.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5988450601028592,3.6415318105676864,2.2257651655846216,1.5888432519492077,4730899.0,4730939.0,40.0,191.99718768557514,3.108635100091873,3.580042653585029,0.20634924064467178,313.0,0.21237642274012306,1.0000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19387.9591,1.8379212,1,5,6,1,9,1,8,5,4731958.0,4733796.0,0.0,4731965.0,4732785.0,4732326.0,4732326.0,4732356.0,4732356.0,4732386.0,4732386.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38423006746484206,-3.7176855176327877,3.807685353255184,1.7930736481692597,4732939.0,4732992.0,53.0,271.7112865169309,4.569942208555382,4.896464156743476,2.6850587457290946,154.0,2.6776288890509914,1.0000000000000002,-0.5000000000000001,1.0,0.38423006746484206,-3.7176855176327877,3.807685353255184,1.7930736481692597,4732939.0,4732992.0,53.0,271.7112865169309,4.569942208555382,4.896464156743476,2.6850587457290946,2.6776288890509914
5,19390.3767,1.9590615,1,6,3,1,8,5,11,11,4734373.0,4736334.0,0.0,4734385.0,4735324.0,4734725.0,4734725.0,0.0,0.0,0.0,0.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0457654943398316,-2.391918708272121,7.071910160636674,5.635374322817673,4735593.0,4735636.0,43.0,254.24463299244914,4.664405245628859,5.222000889399428,2.8285252886062917,269.0,2.8525485528431105,2.5,2.5,1.0,2.0457654943398316,-2.391918708272121,7.071910160636674,5.635374322817673,4735593.0,4735636.0,43.0,254.24463299244914,4.664405245628859,5.222000889399428,2.8285252886062917,2.8525485528431105
6,19392.88537,1.6891611,1,7,1,1,2,2,10,1,4736884.0,4738573.0,0.0,4736892.0,4737563.0,4737113.0,4737114.0,0.0,0.0,0.0,0.0,671.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.311920680803376,-1.7376891339400946,2.1807652477734236,1.6061509126458222,4737963.0,4738013.0,50.0,175.25709835711214,3.103272733150253,3.4658235098680317,2.955353926798047,400.0,2.9557538759753754,2.0000000000000004,-2.5,1.0,1.311920680803376,-1.7376891339400946,2.1807652477734236,1.6061509126458222,4737963.0,4738013.0,50.0,175.25709835711214,3.103272733150253,3.4658235098680317,2.955353926798047,2.9557538759753754
7,19395.08431,2.0090438,1,8,1,2,8,6,3,7,4739083.0,4741092.0,0.0,4739091.0,4740082.0,4739432.0,4739433.0,0.0,0.0,0.0,0.0,991.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6580738947356657,2.2257651655846193,5.04691385913278,4.153838567187473,4740303.0,4740353.0,50.0,218.02767934743162,3.985196271647452,4.472520552909839,0.22601759821283177,221.0,0.25586616232983106,-1.5000000000000002,0.5000000000000001,1.0,-1.6580738947356657,2.2257651655846193,5.04691385913278,4.153838567187473,4740303.0,4740353.0,50.0,218.02767934743162,3.985196271647452,4.472520552909839,0.22601759821283177,0.25586616232983106
8,19397.57317,1.8090842,1,9,4,1,3,4,3,3,4741569.0,4743380.0,0.0,4741581.0,4742371.0,4741821.0,4741821.0,0.0,0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.7203814732434801,-4.15037703504815,2.4853800760338385,1.131921009558586,4742774.0,4742830.0,56.0,184.76372527157685,2.7814977754825643,3.215994366348436,2.6334062734027524,403.0,2.6124335228585216,-1.5000000000000002,-1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,19400.17188,1.9890006,1,10,7,1,4,6,5,1,4744170.0,4746159.0,0.0,4744178.0,4745150.0,4744440.0,4744440.0,4744470.0,4744470.0,4744500.0,4744500.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6334603814960881,-4.344222834850233,1.9176888051848826,0.6473065100533828,4745371.0,4745417.0,46.0,221.19599659106044,3.9221969814131525,4.23963080954096,2.8117484997599487,221.0,2.8123545035192254,-0.5000000000000001,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
