onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
385.4946602	1.7356571	1	1	4	1	1	3	9	8
387.7402781	1.8589042	1	2	3	2	5	4	11	11
389.9593568	2.0186534	1	3	6	2	7	4	9	6
392.3381178	1.8987921	1	4	5	1	2	6	8	2
394.7881211	1.877828	1	5	7	1	2	3	1	2
397.2055055	1.7692001	1	6	4	1	8	1	7	1
399.5647729	1.7686526	1	7	2	2	8	1	2	9
401.9232235	1.8890112	1	8	6	1	3	3	10	1
404.3220239	1.9990338	1	9	1	1	7	6	8	2
406.7409032	1.7591403	1	10	5	1	5	2	8	2
409.189627	1.9889951	1	11	5	2	9	5	7	7
411.8284302	1.8490587	1	12	6	2	1	3	9	4
414.3570927	1.93903	1	13	4	2	9	4	6	10
416.9958627	1.9289886	1	14	1	2	6	5	11	6
419.4146423	1.8292593	1	15	4	1	11	1	9	1
421.9434121	1.8290968	1	16	3	1	6	3	5	11
424.292395	1.8190031	1	17	1	1	3	4	1	11
426.6811127	1.9890683	1	18	2	1	9	5	1	5
429.1603566	1.9187126	1	19	2	2	3	6	10	10
431.5588156	1.8091157	1	20	2	2	5	3	2	8
433.9675421	1.7491992	1	21	3	2	2	3	11	10
436.296437	1.9489041	1	22	6	2	6	3	5	4
438.8451109	1.8590629	1	23	4	2	10	2	11	5
441.2839813	1.9389241	1	24	5	1	4	6	2	7
443.7126412	1.8891149	1	25	7	1	8	1	9	1
446.0914398	1.9388885	1	26	4	2	9	4	9	4
448.6700982	2.0589576	1	27	5	1	10	6	4	9
451.1090253	1.7291044	1	28	1	1	6	1	2	7
453.39784	2.0588925	1	29	7	1	4	6	4	1
455.9564647	1.7890053	1	30	4	1	4	3	8	7
458.2352955	1.9689447	1	31	5	1	8	5	10	4
460.7239227	1.9988836	1	32	4	1	7	6	4	7
463.2130372	1.9785831	1	33	5	1	11	4	11	7
465.7214218	1.8588948	1	34	1	2	10	2	9	2
468.150102	1.8991006	1	35	5	1	2	6	1	6
470.5688862	1.9989874	1	36	6	1	1	6	10	9
473.01761	1.7490179	1	37	3	2	2	3	11	6
475.4064899	2.0589117	1	38	4	2	10	6	4	1
477.8151438	2.1288839	1	39	6	2	10	5	2	1
480.5238441	1.958976	1	40	6	1	4	4	7	9
483.1324122	1.7691191	1	41	4	1	3	3	8	11
485.2614671	1.8290523	1	42	2	1	11	1	6	9
487.770039	1.7190851	1	43	2	1	3	2	1	9
490.0091229	1.8190397	1	44	5	2	8	2	5	3
492.4079861	1.8786928	1	45	2	2	11	2	3	9
494.7964465	1.9590813	1	46	7	2	4	4	9	9
497.245332	1.819123	1	47	1	1	3	4	2	9
499.5740482	1.8490686	1	48	2	2	2	5	10	9
501.9128759	2.1288194	1	49	7	2	10	5	11	10
504.5316563	2.0188771	1	50	7	1	2	6	6	7
507.2001896	1.6892036	1	51	1	1	4	1	8	1
509.2492365	1.9488376	1	52	6	2	11	1	1	6
511.5479277	1.8191285	1	53	2	1	8	2	3	6
513.87682	1.9488565	1	54	6	1	11	1	11	5
516.5253815	2.1089082	1	55	6	1	9	5	11	9
519.2141076	1.9488381	1	56	7	1	6	3	8	3
521.6527079	2.0090676	1	57	7	2	4	5	10	5
524.2214554	1.9189499	1	58	3	1	3	6	5	5
526.5203014	2.0888603	1	59	7	1	8	5	11	3
529.1089641	1.8490472	1	60	1	2	2	5	5	11
531.5178496	1.8990239	1	61	7	1	6	2	1	11
533.9867562	1.6989098	1	62	4	2	2	2	3	6
536.1954589	1.7589263	1	63	5	1	5	2	9	2
538.4641727	1.8991049	1	64	2	2	2	6	8	6
540.952881	1.7990337	1	65	7	2	1	2	11	3
543.2416816	1.8991323	1	66	5	2	7	4	5	6
545.6209864	1.7186864	1	67	4	2	3	2	4	9
547.8993665	1.7392683	1	68	2	1	4	2	1	5
550.0083722	1.9088568	1	69	7	2	9	1	1	3
552.4171859	1.7389446	1	70	1	1	4	2	11	9
554.7060141	1.878856	1	71	1	1	1	6	5	2
556.9447023	2.1089522	1	72	7	2	9	5	7	3
559.6033616	1.9990801	1	73	5	2	7	6	11	3
562.1120492	1.8991249	1	74	2	2	2	6	9	10
564.3610778	1.8289171	1	75	5	2	11	1	6	7
566.839704	1.8089629	1	76	7	1	4	1	10	3
569.1286417	2.0088793	1	77	6	2	9	3	9	10
571.6572287	1.8690004	1	78	4	2	8	3	4	3
573.8861837	2.0588591	1	79	3	1	10	6	7	4
576.5347984	1.7094501	1	80	4	2	5	1	1	1
578.7636437	1.818979	1	81	2	1	8	2	1	9
581.0926369	1.6488375	1	82	2	2	2	1	9	2
583.2415399	1.8487173	1	83	5	1	2	5	11	10
585.670098	2.0789694	1	84	5	2	11	6	3	3
588.2486709	1.9589897	1	85	1	2	5	6	5	5
590.7275106	1.7790923	1	86	3	1	1	4	11	7
593.0163385	2.018894	1	87	7	2	2	6	2	7
595.5750281	1.7589879	1	88	2	1	5	2	3	2
597.8438585	2.0188963	1	89	6	2	2	6	10	5
600.3825264	1.9089402	1	90	3	2	5	5	7	10
602.7812421	1.7392629	1	91	3	1	4	2	1	6
605.0202002	1.7590454	1	92	1	1	5	2	9	5
607.3089438	1.8291361	1	93	7	2	5	1	1	8
609.4780146	1.7289879	1	94	2	1	6	1	4	4
611.8765956	2.0091715	1	95	2	1	10	5	11	9
614.3658146	1.9084849	1	96	4	1	10	3	1	8
616.6241798	1.8090569	1	97	3	2	5	3	1	5
618.9231326	1.9788544	1	98	4	1	11	4	10	1
621.3818605	1.8988542	1	99	3	1	7	4	7	6
623.6209055	1.6888585	1	100	4	1	4	1	7	2
625.9793827	1.7691544	1	101	4	2	8	1	2	11
628.2383029	1.7991611	1	102	5	1	2	4	9	8
630.5270695	1.9790321	1	103	3	1	6	6	11	8
633.0057865	1.9290365	1	104	2	2	11	3	5	6
